,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
165,Equal. Oppor. DP,5,young,46,0.717391304347826,0.6521739130434783,0.8148148148148148,0.42105263157894735,0.5789473684210527,0.18518518518518517
192,Equal. Oppor. DP,6,aged,259,0.7374517374517374,0.7606177606177607,0.8486486486486486,0.5405405405405406,0.4594594594594595,0.15135135135135136
193,Equal. Oppor. DP,6,young,41,0.5365853658536586,0.6341463414634146,0.64,0.625,0.375,0.36
220,Equal. Oppor. DP,7,aged,248,0.7298387096774194,0.7459677419354839,0.8277777777777777,0.5294117647058824,0.47058823529411764,0.17222222222222222
221,Equal. Oppor. DP,7,young,52,0.6153846153846154,0.6923076923076923,0.7666666666666667,0.5909090909090909,0.4090909090909091,0.23333333333333334
248,Equal. Oppor. DP,8,aged,258,0.7751937984496124,0.7441860465116279,0.8526315789473684,0.4411764705882353,0.5588235294117647,0.14736842105263157
249,Equal. Oppor. DP,8,young,42,0.7380952380952381,0.6428571428571429,0.9,0.4090909090909091,0.5909090909090909,0.1
276,Equal. Oppor. DP,9,aged,255,0.7098039215686275,0.7529411764705882,0.8172043010752689,0.5797101449275363,0.42028985507246375,0.1827956989247312
277,Equal. Oppor. DP,9,young,45,0.7333333333333333,0.5777777777777777,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.20833333333333334
26,Equal. Oppor. EO,0,aged,249,0.7791164658634538,0.7108433734939759,0.8351648351648352,0.373134328358209,0.6268656716417911,0.16483516483516483
27,Equal. Oppor. EO,0,young,51,0.8627450980392157,0.5686274509803921,0.8928571428571429,0.17391304347826086,0.8260869565217391,0.10714285714285714
54,Equal. Oppor. EO,1,aged,255,0.7411764705882353,0.7254901960784313,0.8287292817679558,0.47297297297297297,0.527027027027027,0.1712707182320442
55,Equal. Oppor. EO,1,young,45,0.7333333333333333,0.8222222222222222,0.9310344827586207,0.625,0.375,0.06896551724137931
82,Equal. Oppor. EO,2,aged,260,0.6961538461538461,0.7615384615384615,0.8216216216216217,0.6133333333333333,0.38666666666666666,0.1783783783783784
83,Equal. Oppor. EO,2,young,40,0.825,0.75,0.96,0.4,0.6,0.04
110,Equal. Oppor. EO,3,aged,262,0.7862595419847328,0.7519083969465649,0.8770053475935828,0.44,0.56,0.12299465240641712
111,Equal. Oppor. EO,3,young,38,0.8157894736842105,0.631578947368421,0.8695652173913043,0.26666666666666666,0.7333333333333333,0.13043478260869565
138,Equal. Oppor. EO,4,aged,255,0.7411764705882353,0.7215686274509804,0.8172043010752689,0.463768115942029,0.5362318840579711,0.1827956989247312
139,Equal. Oppor. EO,4,young,45,0.7111111111111111,0.6,0.7916666666666666,0.38095238095238093,0.6190476190476191,0.20833333333333334
166,Equal. Oppor. EO,5,aged,254,0.7440944881889764,0.8031496062992126,0.8797814207650273,0.6056338028169014,0.39436619718309857,0.12021857923497267
167,Equal. Oppor. EO,5,young,46,0.717391304347826,0.6521739130434783,0.8148148148148148,0.42105263157894735,0.5789473684210527,0.18518518518518517
194,Equal. Oppor. EO,6,aged,259,0.752895752895753,0.7683397683397684,0.8648648648648649,0.527027027027027,0.47297297297297297,0.13513513513513514
195,Equal. Oppor. EO,6,young,41,0.5365853658536586,0.6341463414634146,0.64,0.625,0.375,0.36
222,Equal. Oppor. EO,7,aged,248,0.7620967741935484,0.7217741935483871,0.8333333333333334,0.4264705882352941,0.5735294117647058,0.16666666666666666
223,Equal. Oppor. EO,7,young,52,0.6153846153846154,0.6923076923076923,0.7666666666666667,0.5909090909090909,0.4090909090909091,0.23333333333333334
250,Equal. Oppor. EO,8,aged,258,0.7713178294573644,0.7403100775193798,0.8473684210526315,0.4411764705882353,0.5588235294117647,0.15263157894736842
251,Equal. Oppor. EO,8,young,42,0.7380952380952381,0.6428571428571429,0.9,0.4090909090909091,0.5909090909090909,0.1
278,Equal. Oppor. EO,9,aged,255,0.7333333333333333,0.7607843137254902,0.8387096774193549,0.5507246376811594,0.4492753623188406,0.16129032258064516
279,Equal. Oppor. EO,9,young,45,0.7333333333333333,0.5777777777777777,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.20833333333333334
16,Exp. Grad. DP,0,aged,249,0.8032128514056225,0.7028112449799196,0.8461538461538461,0.31343283582089554,0.6865671641791045,0.15384615384615385
17,Exp. Grad. DP,0,young,51,0.7843137254901961,0.5294117647058824,0.7857142857142857,0.21739130434782608,0.782608695652174,0.21428571428571427
44,Exp. Grad. DP,1,aged,255,0.7568627450980392,0.7411764705882353,0.850828729281768,0.47297297297297297,0.527027027027027,0.14917127071823205
45,Exp. Grad. DP,1,young,45,0.7333333333333333,0.8222222222222222,0.9310344827586207,0.625,0.375,0.06896551724137931
72,Exp. Grad. DP,2,aged,260,0.7692307692307693,0.7653846153846153,0.8756756756756757,0.49333333333333335,0.5066666666666667,0.12432432432432433
