,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
137,Equal. Oppor. DP,4,young,44,0.7272727272727273,0.5681818181818182,0.7407407407407407,0.29411764705882354,0.7058823529411765,0.25925925925925924
164,Equal. Oppor. DP,5,aged,252,0.7698412698412699,0.7936507936507936,0.898876404494382,0.5405405405405406,0.4594594594594595,0.10112359550561797
165,Equal. Oppor. DP,5,young,48,0.7083333333333334,0.5416666666666666,0.6875,0.25,0.75,0.3125
192,Equal. Oppor. DP,6,aged,257,0.7665369649805448,0.7626459143968871,0.8655913978494624,0.49295774647887325,0.5070422535211268,0.13440860215053763
193,Equal. Oppor. DP,6,young,43,0.813953488372093,0.6046511627906976,0.875,0.2631578947368421,0.7368421052631579,0.125
220,Equal. Oppor. DP,7,aged,257,0.77431906614786,0.7898832684824902,0.8918918918918919,0.5277777777777778,0.4722222222222222,0.10810810810810811
221,Equal. Oppor. DP,7,young,43,0.8372093023255814,0.6511627906976745,0.92,0.2777777777777778,0.7222222222222222,0.08
248,Equal. Oppor. DP,8,aged,260,0.7846153846153846,0.7538461538461538,0.8723404255319149,0.4444444444444444,0.5555555555555556,0.1276595744680851
249,Equal. Oppor. DP,8,young,40,0.75,0.65,0.8636363636363636,0.3888888888888889,0.6111111111111112,0.13636363636363635
276,Equal. Oppor. DP,9,aged,255,0.8313725490196079,0.7686274509803922,0.9135135135135135,0.38571428571428573,0.6142857142857143,0.08648648648648649
277,Equal. Oppor. DP,9,young,45,0.7333333333333333,0.6888888888888889,0.88,0.45,0.55,0.12
26,Equal. Oppor. EO,0,aged,251,1.0,0.7131474103585658,1.0,0.0,1.0,0.0
27,Equal. Oppor. EO,0,young,49,1.0,0.6326530612244898,1.0,0.0,1.0,0.0
54,Equal. Oppor. EO,1,aged,248,0.6653225806451613,0.717741935483871,0.7624309392265194,0.5970149253731343,0.40298507462686567,0.23756906077348067
55,Equal. Oppor. EO,1,young,52,0.5961538461538461,0.6538461538461539,0.7241379310344828,0.5652173913043478,0.43478260869565216,0.27586206896551724
82,Equal. Oppor. EO,2,aged,266,0.6691729323308271,0.7218045112781954,0.7736842105263158,0.5921052631578947,0.40789473684210525,0.22631578947368422
83,Equal. Oppor. EO,2,young,34,0.5588235294117647,0.6176470588235294,0.65,0.5714285714285714,0.42857142857142855,0.35
110,Equal. Oppor. EO,3,aged,254,1.0,0.7086614173228346,1.0,0.0,1.0,0.0
111,Equal. Oppor. EO,3,young,46,1.0,0.6521739130434783,1.0,0.0,1.0,0.0
138,Equal. Oppor. EO,4,aged,256,1.0,0.71484375,1.0,0.0,1.0,0.0
139,Equal. Oppor. EO,4,young,44,1.0,0.6136363636363636,1.0,0.0,1.0,0.0
166,Equal. Oppor. EO,5,aged,252,0.6468253968253969,0.7420634920634921,0.7752808988764045,0.6621621621621622,0.33783783783783783,0.2247191011235955
167,Equal. Oppor. EO,5,young,48,0.5833333333333334,0.5,0.5625,0.375,0.625,0.4375
194,Equal. Oppor. EO,6,aged,257,0.6498054474708171,0.6614785992217899,0.7150537634408602,0.5211267605633803,0.4788732394366197,0.2849462365591398
195,Equal. Oppor. EO,6,young,43,0.6511627906976745,0.7209302325581395,0.8333333333333334,0.5789473684210527,0.42105263157894735,0.16666666666666666
222,Equal. Oppor. EO,7,aged,257,0.6809338521400778,0.7431906614785992,0.7945945945945946,0.6111111111111112,0.3888888888888889,0.20540540540540542
223,Equal. Oppor. EO,7,young,43,0.6976744186046512,0.6046511627906976,0.76,0.3888888888888889,0.6111111111111112,0.24
250,Equal. Oppor. EO,8,aged,260,0.7423076923076923,0.7346153846153847,0.8297872340425532,0.4861111111111111,0.5138888888888888,0.1702127659574468
251,Equal. Oppor. EO,8,young,40,0.65,0.7,0.8181818181818182,0.5555555555555556,0.4444444444444444,0.18181818181818182
278,Equal. Oppor. EO,9,aged,255,1.0,0.7254901960784313,1.0,0.0,1.0,0.0
279,Equal. Oppor. EO,9,young,45,1.0,0.5555555555555556,1.0,0.0,1.0,0.0
16,Exp. Grad. DP,0,aged,251,0.7689243027888446,0.7609561752988048,0.8715083798882681,0.4861111111111111,0.5138888888888888,0.12849162011173185
17,Exp. Grad. DP,0,young,49,0.8163265306122449,0.7755102040816326,0.967741935483871,0.4444444444444444,0.5555555555555556,0.03225806451612903
44,Exp. Grad. DP,1,aged,248,0.7580645161290323,0.7701612903225806,0.861878453038674,0.5223880597014925,0.47761194029850745,0.13812154696132597
45,Exp. Grad. DP,1,young,52,0.7307692307692307,0.5961538461538461,0.7931034482758621,0.34782608695652173,0.6521739130434783,0.20689655172413793
72,Exp. Grad. DP,2,aged,266,0.7706766917293233,0.7255639097744361,0.8473684210526315,0.42105263157894735,0.5789473684210527,0.15263157894736842
73,Exp. Grad. DP,2,young,34,0.7647058823529411,0.6470588235294118,0.85,0.35714285714285715,0.6428571428571429,0.15
100,Exp. Grad. DP,3,aged,254,0.7440944881889764,0.7677165354330708,0.8611111111111112,0.5405405405405406,0.4594594594594595,0.1388888888888889
101,Exp. Grad. DP,3,young,46,0.6739130434782609,0.6739130434782609,0.7666666666666667,0.5,0.5,0.23333333333333334
128,Exp. Grad. DP,4,aged,256,0.78515625,0.7734375,0.8907103825136612,0.4794520547945205,0.5205479452054794,0.1092896174863388
